task_id,stage,stage_name,area,goal,dependency,allowed_paths,primary_file_target,api_interface
NP-001,S0,Foundation,workspace,Repository baseline and workspace layout,None,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-002,S0,Foundation,toolchain,Pin stable Rust toolchain and formatting policy,NP-001,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-003,S0,Foundation,agent-rules,Codex/agent operating rules,NP-002,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-004,S0,Foundation,architecture,Architecture and ownership boundaries,NP-003,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-005,S0,Foundation,security,Security baseline and secret-redaction policy,NP-004,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-006,S0,Foundation,errors,Error taxonomy and propagation conventions,NP-005,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-007,S0,Foundation,logging,Structured logging and redaction baseline,NP-006,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-008,S0,Foundation,testing,Test conventions and fixtures,NP-007,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-009,S0,Foundation,ci,Windows CI workflow baseline,NP-008,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-010,S0,Foundation,scripts,Developer and CI PowerShell scripts,NP-009,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-011,S0,Foundation,docs-index,Documentation and task navigation index,NP-010,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-012,S0,Foundation,release-gates,Baseline release gates and review checklist,NP-011,"docs/, scripts/, Cargo.toml, rust-toolchain.toml, AGENTS.md, README.md, CONTRIBUTING.md, CODEOWNERS",Root manifests/docs/scripts,"Repository manifests, policy documents, CI scripts and release gates"
NP-013,S1,Core IPC,runtime-state,Core runtime state machine,NP-012,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-014,S1,Core IPC,lifecycle,Core startup/shutdown lifecycle,NP-013,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-015,S1,Core IPC,envelope,Versioned IPC envelope,NP-014,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-016,S1,Core IPC,pipe-server,Named Pipe server skeleton,NP-015,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
NP-017,S1,Core IPC,pipe-client,Named Pipe client skeleton,NP-016,"crates/ipc/, apps/core/, crates/core/, docs/",crates/ipc/src/lib.rs; apps/core/src/main.rs; crates/core/src/lib.rs,"CoreRuntime, IpcEnvelope, NamedPipeServer/Client, request/event contracts"
